DateTime,AddedIPs,RemovedIPs
1557238831,5,322
1557240737,13,179
1557242663,58,62
1557244571,5,5
1557246490,8,12
1557248452,16,11
1557250365,292,13
1557252262,554,12
1557254179,205,19
1557256099,215,13
1557258013,274,12
1557259943,267,25
1557261854,178,13
1557263773,207,4
1557265707,58,23
1557267612,109,8
1557269553,5,5
1557271462,5,18
1557273372,2,46
1557275400,5,21
1557277250,66,7
1557279141,202,3
1557281062,320,2
1557282982,246,10
1557284894,183,5
1557286813,59,8
1557288745,99,4
1557290651,231,5
1557292585,158,5
1557294501,863,2
1557296428,654,7
1557298345,390,4
1557300271,326,18
1557302172,481,10
1557304091,312,16
1557306043,74,5
1557307941,56,9
1557310105,271,3
